inc_number,occurred_on,ucr_crime_category,100_block_addr,zip,premise_type,year,month,day_name,hour
201500002111497,2015-11-02 16:47:00,LARCENY-THEFT,2400 E UNION HILLS DR,85032,RETAIL BUSINESS,2015.0,11.0,Monday,16.0
201500002132194,,BURGLARY,3200 E ROOSEVELT ST,85008,APARTMENT,,,,
201680001647,2015-11-02 17:00:00,LARCENY-THEFT,3400 E SKY HARBOR BLVD,85034,AIRPORT,2015.0,11.0,Monday,17.0
201500002116924,2015-11-02 17:30:00,LARCENY-THEFT,5100 W MCDOWELL RD,85043,PARK / PLAYGROUND,2015.0,11.0,Monday,17.0
201500002111923,2015-11-02 17:38:00,AGGRAVATED ASSAULT,1400 E CHIPMAN RD,85040,STREET / ROADWAY / ALLEY / SIDEWALK,2015.0,11.0,Monday,17.0
201500002112133,2015-11-02 17:59:00,LARCENY-THEFT,1800 W BELL RD,85023,RETAIL BUSINESS,2015.0,11.0,Monday,17.0
201500002115509,2015-11-02 18:00:00,MOTOR VEHICLE THEFT,10500 W TORONTO WAY,85353,DRIVEWAY,2015.0,11.0,Monday,18.0
201500002115964,2015-11-02 18:00:00,MOTOR VEHICLE THEFT,4000 W OSBORN RD,85019,APARTMENT,2015.0,11.0,Monday,18.0
201500002114651,2015-11-02 18:00:00,BURGLARY,900 W IRONWOOD DR,85021,VEHICLE,2015.0,11.0,Monday,18.0
201500002119668,2015-11-02 18:00:00,LARCENY-THEFT,3100 N 65TH DR,85033,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,18.0
201500002114670,2015-11-02 18:00:00,BURGLARY,10200 W INDIAN SCHOOL RD,85037,MEDICAL OFFICE,2015.0,11.0,Monday,18.0
201500002112216,2015-11-02 18:03:00,LARCENY-THEFT,1600 W BETHANY HOME RD,85015,RETAIL BUSINESS,2015.0,11.0,Monday,18.0
201500002112958,2015-11-02 18:10:00,LARCENY-THEFT,6500 S 41ST LN,85041,BUS,2015.0,11.0,Monday,18.0
201500002112524,2015-11-02 18:20:00,LARCENY-THEFT,5700 N 19TH AVE,85015,RETAIL BUSINESS,2015.0,11.0,Monday,18.0
201500002112365,2015-11-02 18:25:00,RAPE,3100 W SAHUARO DR,85029,APARTMENT,2015.0,11.0,Monday,18.0
201500002184926,2015-11-02 18:30:00,LARCENY-THEFT,2300 W GLENROSA AVE,85015,PARKING LOT,2015.0,11.0,Monday,18.0
201500002114548,2015-11-02 18:30:00,MOTOR VEHICLE THEFT,3700 W MCDOWELL RD,85009,APARTMENT,2015.0,11.0,Monday,18.0
201500002112433,2015-11-02 18:40:00,LARCENY-THEFT,4300 W MCDOWELL RD,85043,CONVENIENCE MARKET / STORE,2015.0,11.0,Monday,18.0
